,sigma,y,z,shearstress,V.Mises
110,50388819.24432645,0.008737373737373736,0.0,140568097.0272901,248630655.41171372
111,55427701.1687591,0.00961111111111111,0.0,140516696.78744826,249613814.29123724
112,60466583.09319175,0.010484848484848484,0.0,140459035.35532048,250683923.5168609
113,65505465.01762439,0.011358585858585858,0.0,140395112.73090684,251839887.59397772
114,70544346.94205703,0.012232323232323232,0.0,140324928.91420734,253080544.3130968
115,75583228.86648968,0.013106060606060605,0.0,140248483.90522197,254404670.15961808
116,80622110.79092233,0.01397979797979798,0.0,140165777.7039507,255810985.8204759
117,85660992.71535498,0.014853535353535353,0.0,140076810.3103936,257298161.7368886
118,90699874.63978761,0.015727272727272725,0.0,139981581.7245506,258864823.655116
119,95738756.56422026,0.0166010101010101,0.0,139880091.94642174,260509558.13037115
120,100777638.4886529,0.017474747474747473,0.0,139772340.976007,262230917.94273442
121,105816520.41308555,0.018348484848484847,0.0,139658328.8133064,264027427.38797
122,110855402.3375182,0.01922222222222222,0.0,139538055.45831993,265897587.41041738
123,115894284.26195084,0.020095959595959594,0.0,139411520.91104758,267839880.54952577
124,120933166.1863835,0.020969696969696968,0.0,139278725.1714894,269852775.67601424
125,125972048.11081612,0.021843434343434342,0.0,139139668.23964527,271934732.49798274
126,131010930.03524879,0.022717171717171716,0.0,138994350.11551532,274084205.8215034
127,136049811.95968145,0.02359090909090909,0.0,138842770.79909948,276299649.55420864
128,141088693.88411406,0.024464646464646463,0.0,138684930.2903978,278579520.4441323
129,146127575.80854672,0.025338383838383837,0.0,138520828.58941022,280922281.54949343
130,151166457.73297936,0.02621212121212121,0.0,138350465.6961368,283326405.43823373
131,156205339.65741202,0.027085858585858585,0.0,138173841.61057746,285790377.11889863
132,161244221.58184466,0.02795959595959596,0.0,137990956.3327323,288312696.7068934
133,166283103.5062773,0.028833333333333332,0.0,137801809.86260122,290891881.83224505
134,171321985.43070996,0.029707070707070706,0.0,137606402.2001843,293526469.796775
135,176360867.35514262,0.03058080808080808,0.0,137404733.3454815,296215019.49004346
136,181399749.27957523,0.03145454545454545,0.0,137196803.29849282,298956113.0745929
137,186438631.20400786,0.032328282828282824,0.0,136982612.0592183,301748357.4519055
138,191477513.12844053,0.0332020202020202,0.0,136762159.62765786,304590385.52113724
139,196516395.05287316,0.03407575757575757,0.0,136535446.0038116,307480857.2431073
140,201555276.9773058,0.034949494949494946,0.0,136302471.1876794,310418460.52224886
141,206594158.90173846,0.03582323232323232,0.0,136063235.1792614,313401911.9192762
142,211633040.8261711,0.03669696969696969,0.0,135817737.97855753,316429957.207228
143,216671922.75060377,0.03757070707070707,0.0,135565979.58556774,319501371.7833263
144,221710804.6750364,0.03844444444444444,0.0,135307960.0002921,322614960.9487664
145,226749686.59946904,0.039318181818181815,0.0,135043679.22273058,325769560.0681449
146,231788568.52390167,0.04019191919191919,0.0,134773137.25288323,328964034.6197635
147,236827450.44833434,0.04106565656565656,0.0,134496334.09074995,332197280.14752036
148,241866332.372767,0.041939393939393936,0.0,134213269.73633084,335468222.124548
149,246905214.29719964,0.04281313131313131,0.0,133923944.18962583,338775815.73817235
150,251944096.22163224,0.043686868686868684,0.0,133628357.45063496,342119045.6051798
151,256982978.1460649,0.04456060606060606,0.0,133326509.51935823,345496925.42578065
152,262021860.07049757,0.04543434343434343,0.0,133018400.39579561,348908497.5840686
153,267060741.9949302,0.046308080808080805,0.0,132704030.07994713,352352832.7021953
154,272099623.9193629,0.04718181818181818,0.0,132383398.57181278,355829029.1549146
155,277138505.8437955,0.04805555555555555,0.0,132056505.87139255,359336212.5506068
156,282177387.7682281,0.04892929292929293,0.0,131723351.97868647,362873535.1843721
157,287216269.6926608,0.0498030303030303,0.0,131383936.89369449,366440175.4682832
158,292255151.61709344,0.050676767676767674,0.0,131038260.61641666,370035337.34341925
159,297294033.5415261,0.05155050505050505,0.0,130686323.14685297,373658249.67785877
160,302332915.4659587,0.05242424242424242,0.0,130328124.48500338,377308165.65439206
161,307371797.39039135,0.053297979797979796,0.0,129963664.63086793,380984362.15132755
162,312410679.31482404,0.05417171717171717,0.0,129592943.58444661,384686139.1194054
163,317449561.2392567,0.05504545454545454,0.0,129215961.34573941,388412818.95749456
164,322488443.1636893,0.05591919191919192,0.0,128832717.91474634,392163745.8894459
165,327527325.088122,0.05679292929292929,0.0,128443213.29146743,395938285.3441841
166,332566207.0125546,0.057666666666666665,0.0,128047447.47590262,399735823.34086525
167,337605088.9369873,0.05854040404040404,0.0,127645420.46805194,403555765.8806877
168,342643970.8614199,0.05941414141414141,0.0,127237132.26791538,407397538.34672415
169,347682852.78585255,0.060287878787878786,0.0,126822582.87549296,411260584.9129511
170,352721734.71028525,0.06116161616161616,0.0,126401772.29078467,415144367.96346766
171,357760616.6347178,0.062035353535353534,0.0,125974700.51379052,419048367.5227374
172,362799498.55915046,0.0629090909090909,0.0,125541367.54451047,422972080.6975427
173,367838380.4835831,0.06378282828282827,0.0,125101773.38294457,426915021.13120604
174,372877262.4080157,0.06465656565656565,0.0,124655918.0290928,430876718.4705202
175,377916144.3324484,0.06553030303030302,0.0,124203801.48295516,434856717.8457244
176,382955026.25688106,0.0664040404040404,0.0,123745423.74453163,438854579.36376774
177,387993908.1813137,0.06727777777777777,0.0,123280784.81382224,442869877.6150231
178,393032790.1057463,0.06815151515151514,0.0,122809884.69082698,446902201.1935389
179,398071672.03017896,0.06902525252525252,0.0,122332723.37554586,450951152.2308551
180,403110553.9546116,0.06989898989898989,0.0,121849300.86797886,455016345.94335127
181,408149435.8790443,0.07077272727272726,0.0,121359617.16812597,459097410.19304866
182,413188317.8034769,0.07164646464646464,0.0,120863672.27598724,463193985.0617436
183,418227199.7279096,0.07252020202020201,0.0,120361466.19156261,467305722.4383164
184,423266081.6523422,0.07339393939393939,0.0,119852998.91485213,471432285.6190249
185,428304963.57677484,0.07426767676767676,0.0,119338270.44585578,475573348.9205709
186,433343845.50120753,0.07514141414141413,0.0,118817280.78457354,479728597.30570054
187,438382727.4256401,0.07601515151515151,0.0,118290029.93100543,483897726.02108556
188,443421609.3500728,0.07688888888888888,0.0,117756517.88515148,488080440.2472164
189,448460491.27450544,0.07776262626262626,0.0,117216744.64701162,492276454.760025
190,453499373.1989381,0.07863636363636363,0.0,116670710.21658592,496485493.6039495
191,458538255.12337077,0.079510101010101,0.0,116118414.59387434,500707289.7761427
192,463577137.04780334,0.08038383838383838,0.0,115559857.77887687,504941584.921524
193,468616018.97223604,0.08125757575757575,0.0,114995039.77159354,509188129.0383724
194,473654900.8966687,0.08213131313131312,0.0,114423960.57202435,513446680.1941537
195,478693782.8211013,0.0830050505050505,0.0,113846620.18016928,517717004.25127906
196,483732664.745534,0.08387878787878787,0.0,113263018.59602834,521998874.6024918
197,488771546.6699666,0.08475252525252525,0.0,112673155.81960152,526292071.9155818
198,493810428.5943993,0.08562626262626262,0.0,112077031.85088883,530596383.88713104
199,498849310.5188319,0.0865,0.0,111474646.68989028,534911605.00499666
200,498849310.5188319,0.0865,-0.0,493117087.3176117,989112743.8360752
