,sigma,y,z,shearstress,V.Mises
157,287216269.6926608,0.0498030303030303,0.0,131267200.54160981,366314645.3395781
158,292255151.61709344,0.050676767676767674,0.0,130921524.26433198,369911354.50783134
159,297294033.5415261,0.05155050505050505,0.0,130569586.79476827,373535799.310668
160,302332915.4659587,0.05242424242424242,0.0,130211388.1329187,377187232.78055334
161,307371797.39039135,0.053297979797979796,0.0,129846928.27878325,380864931.67697424
162,312410679.31482404,0.05417171717171717,0.0,129476207.23236191,384568195.8609973
163,317449561.2392567,0.05504545454545454,0.0,129099224.99365471,388296347.6687405
164,322488443.1636893,0.05591919191919192,0.0,128715981.56266166,392048731.28612274
165,327527325.088122,0.05679292929292929,0.0,128326476.93938273,395824712.1269744
166,332566207.0125546,0.057666666666666665,0.0,127930711.12381792,399623676.2163305
167,337605088.9369873,0.05854040404040404,0.0,127528684.11596724,403445029.58048886
168,342643970.8614199,0.05941414141414141,0.0,127120395.91583069,407288197.6451984
169,347682852.78585255,0.060287878787878786,0.0,126705846.52340826,411152624.6431479
170,352721734.71028525,0.06116161616161616,0.0,126285035.93869999,415037773.0317436
171,357760616.6347178,0.062035353535353534,0.0,125857964.16170582,418943122.92200387
172,362799498.55915046,0.0629090909090909,0.0,125424631.19242577,422868171.5192562
173,367838380.4835831,0.06378282828282827,0.0,124985037.03085987,426812432.5761862
174,372877262.4080157,0.06465656565656565,0.0,124539181.67700812,430775435.85867655
175,377916144.3324484,0.06553030303030302,0.0,124087065.13087046,434756726.6247673
176,382955026.25688106,0.0664040404040404,0.0,123628687.39244694,438755865.1169766
177,387993908.1813137,0.06727777777777777,0.0,123164048.46173756,442772426.0681388
178,393032790.1057463,0.06815151515151514,0.0,122693148.3387423,446805998.22084475
179,398071672.03017896,0.06902525252525252,0.0,122215987.02346116,450856183.86050653
180,403110553.9546116,0.06989898989898989,0.0,121732564.51589416,454922598.3620102
181,408149435.8790443,0.07077272727272726,0.0,121242880.81604128,459004869.7498758
182,413188317.8034769,0.07164646464646464,0.0,120746935.92390254,463102638.2717984
183,418227199.7279096,0.07252020202020201,0.0,120244729.83947791,467215555.98541015
184,423266081.6523422,0.07339393939393939,0.0,119736262.56276743,471343286.3580716
185,428304963.57677484,0.07426767676767676,0.0,119221534.09377109,475485503.8794759
186,433343845.50120753,0.07514141414141413,0.0,118700544.43248884,479641893.6868236
187,438382727.4256401,0.07601515151515151,0.0,118173293.57892074,483812151.20231575
188,443421609.3500728,0.07688888888888888,0.0,117639781.53306678,487995981.7826901
189,448460491.27450544,0.07776262626262626,0.0,117100008.29492693,492193100.38051796
190,453499373.1989381,0.07863636363636363,0.0,116553973.86450122,496403231.21697164
191,458538255.12337077,0.079510101010101,0.0,116001678.24178964,500626107.46576184
192,463577137.04780334,0.08038383838383838,0.0,115443121.42679219,504861470.94794345
